-1.043256741511702002e+00,5.091073001663007913e-01
-5.438426029784493299e-01,-2.350062521974420893e-01
-1.065637074776674798e+00,-8.113910358908082987e-01
-6.540301028375209436e-01,-5.814156387101865331e-01
-8.214858578418764434e-01,-7.372009763077403965e-01
-7.458860561267075528e-01,-6.839784717980433859e-01
-7.151020133829125713e-01,-6.550759502535220546e-01
-6.823681612861280943e-01,-6.413287110952364811e-01
-7.287479259039091328e-01,-6.870934374300028402e-01
-6.994512501753018530e-01,-6.641698683012462467e-01
-6.915967513453487037e-01,-6.443878722742130138e-01
-6.298578875393121557e-01,-5.937467225011654470e-01
-6.399763539809694146e-01,-5.975641063766852223e-01
-6.726997490754089704e-01,-6.207040580802571927e-01
-6.571019444160259848e-01,-6.114232137364479236e-01
-6.523892536138085063e-01,-6.022358461496453153e-01
-6.327477885572634353e-01,-5.891540816574309947e-01
-6.721060059765375794e-01,-6.069727941206495281e-01
-6.765448732308014801e-01,-6.259931996514478403e-01
-6.652870268844195412e-01,-6.100416767353625813e-01
-6.488019283372460366e-01,-5.891999106784611140e-01
